OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,682,45,360,559,346,833,658,179,850,797
+,602,475,712,490,646,186,830,138,64,733
+,1162,966,468,37,300,206,44,810,204,907
+,132,323,955,317,527,407,834,556,484,259
+,608,771,662,195,292,365,882,799,48,886
+,1331,339,279,127,818,376,447,910,409,761
+,845,916,979,395,347,997,191,508,708,509
+,547,946,816,531,273,820,84,744,434,80
+,359,616,842,184,558,300,328,105,81,335
+,1068,302,313,456,617,734,436,170,706,454
+,441,457,43,744,890,933,361,629,445,281
+,354,810,970,58,76,687,652,415,372,525
+,977,767,695,163,975,31,146,869,622,694
+,1358,448,35,129,68,241,797,660,375,370
+,950,972,580,33,619,157,695,460,971,379
+,780,454,781,78,587,140,542,375,407,321
+,368,285,255,983,116,26,753,190,511,530
+,1470,935,575,120,268,793,266,720,456,219
+,1467,292,710,938,502,204,125,138,873,75
+,754,176,920,730,455,89,829,698,990,865
+,1102,683,355,726,66,563,555,297,912,307
+,1294,161,728,726,949,717,653,178,812,370
+,400,229,124,205,811,142,242,809,505,26
+,961,567,586,377,478,822,564,132,626,905
+,520,67,316,407,734,736,490,538,420,787
+,1254,843,588,75,128,995,324,657,75,460
+,1230,696,529,352,131,899,848,798,564,655
+,353,186,786,989,132,443,514,932,889,56
+,616,127,530,156,311,168,165,330,957,726
+,990,354,970,963,531,916,290,866,80,256
+,993,650,979,564,281,128,640,310,629,546
+,243,514,656,172,606,964,594,157,175,674
+,675,737,923,619,345,862,946,577,42,845
+,347,29,83,46,971,656,789,590,271,666
+,793,785,585,426,632,654,31,509,910,642
+,1227,296,657,979,309,494,250,824,826,701
+,192,304,464,74,705,61,161,450,425,495
+,214,208,348,621,147,320,882,735,326,751
+,1315,353,998,408,133,778,379,527,575,108
+,1311,247,477,125,273,460,253,144,99,51
+,492,968,393,884,630,428,254,985,886,923
+,385,833,335,956,591,738,320,194,781,163
+,84,527,478,510,900,315,509,23,92,967
+,805,517,468,989,246,220,597,361,49,51
+,733,506,611,903,863,669,688,481,292,549
+,1032,867,110,441,137,903,270,744,374,782
+,1442,374,46,410,52,583,575,199,371,566
+,544,75,395,516,461,782,563,286,845,638
+,184,625,121,131,998,99,403,382,813,347
+,1014,961,374,773,147,203,616,521,411,512
+,945,46,39,140,730,341,823,485,531,467
+,454,620,914,527,143,335,953,627,326,166
+,1156,631,757,862,306,607,344,519,848,521
+,835,501,725,576,306,486,835,17,377,339
+,1095,112,426,597,315,815,920,742,893,704
+,100,27,611,485,271,990,671,801,995,794
+,654,591,233,738,52,597,491,174,536,644
+,181,634,793,861,389,151,841,697,248,32
+,402,970,717,112,195,19,451,321,428,155
+,794,707,208,420,513,793,626,942,482,893
+,111,753,744,63,722,141,531,212,574,332
+,187,489,538,385,321,979,177,470,934,545
+,1211,559,362,692,790,888,738,697,658,822
+,1244,270,624,495,196,980,252,285,571,305
+,1193,964,996,304,789,295,721,212,706,721
+,1281,324,491,357,573,956,956,814,738,280
+,32,124,587,692,556,388,917,404,838,353
+,1494,791,823,149,297,43,294,978,731,80
+,325,946,452,671,262,765,490,219,206,847
+,1033,277,955,575,712,278,140,111,630,758
+,951,245,248,51,685,926,543,231,653,238
+,623,102,423,338,734,483,102,697,789,140
+,562,987,563,951,161,416,668,957,901,899
+,1002,488,666,204,774,987,294,328,292,661
+,588,929,787,91,667,587,237,547,756,740
+,1176,959,38,935,943,179,427,903,857,180
+,1114,941,37,856,406,806,507,190,959,766
+,581,893,948,296,897,38,9,305,581,617
+,15,950,343,291,465,656,556,536,505,910
+,91,137,871,516,479,279,197,828,115,338
+,964,748,469,663,263,735,190,14,754,345
+,288,302,581,690,775,197,179,625,876,654
+,190,415,846,437,527,335,88,410,685,97
+,310,143,488,331,958,254,6,267,392,241
+,1056,771,273,976,337,309,596,740,586,11
+,396,669,368,709,241,63,683,121,476,314
+,113,415,702,514,945,916,909,720,788,318
+,847,120,654,938,963,302,376,629,226,224
+,813,136,489,156,465,765,620,382,425,718
+,8,934,482,775,550,821,680,845,223,780
+,71,696,772,610,894,806,83,538,457,540
+,1489,370,79,939,577,114,63,848,560,924
+,917,207,586,549,153,168,335,874,532,452
+,556,696,210,734,597,500,93,920,522,456
+,1224,56,464,135,525,425,467,577,59,572
+,1321,688,826,315,740,22,405,260,836,3
+,1413,223,592,74,46,433,352,717,65,554
+,107,957,915,70,956,483,32,293,418,184
+,1465,138,784,656,746,661,986,430,383,912
+,782,459,890,939,928,386,384,82,699,987
+,1013,895,552,136,669,880,356,121,182,550
+,99,541,130,745,228,854,3,774,23,305
+,34,689,736,557,434,544,388,843,235,253
+,207,354,158,282,193,959,896,742,783,115
+,1084,828,676,429,629,784,958,904,910,16
+,24,211,68,103,608,34,457,612,688,720
+,925,49,250,758,45,411,449,239,552,222
+,126,884,794,57,143,515,296,239,835,938
+,1264,589,326,591,612,791,688,838,328,242
+,9,897,146,676,533,226,423,307,281,62
+,708,971,605,900,752,933,179,641,695,437
+,482,507,48,995,352,964,658,687,390,804
+,709,326,713,426,418,152,307,385,188,772
+,966,484,246,869,230,307,878,724,147,825
+,321,936,59,575,422,991,426,570,542,137
+,1341,248,261,208,338,662,80,944,460,867
+,1001,94,548,741,849,195,52,274,386,689
+,787,617,40,894,74,192,823,779,601,741
+,342,572,222,490,213,890,928,340,310,979
+,1143,15,216,959,194,985,759,120,764,772
+,635,936,248,712,618,720,209,406,937,245
+,1292,329,794,289,389,477,546,664,367,315
+,720,368,525,903,509,477,100,822,739,480
+,706,859,327,936,208,379,320,423,46,576
+,1037,226,759,149,16,267,566,957,598,593
+,1076,427,302,156,200,337,235,388,583,853
+,854,511,563,670,966,701,345,263,781,841
+,1305,989,740,657,757,502,471,172,750,814
+,1028,173,143,737,559,500,188,938,910,555
+,573,980,60,536,34,859,867,76,967,837
+,869,49,782,6,422,140,862,645,236,69
+,1030,154,9,223,517,466,382,61,632,653
+,1432,956,631,934,494,675,499,16,6,544
+,980,421,12,17,542,739,281,548,1000,293
+,1299,514,832,714,690,440,825,962,931,183
+,515,940,98,536,152,246,196,634,539,258
+,729,362,273,814,406,80,382,982,415,470
+,790,249,713,231,307,700,847,868,82,669
+,1239,665,777,32,95,415,388,386,565,487
+,94,652,9,719,175,84,511,865,444,660
+,1291,339,579,1000,878,997,97,916,540,941
+,899,235,216,922,888,708,908,580,486,277
+,137,946,76,700,947,287,920,556,577,673
+,554,183,951,870,322,16,984,212,601,147
+,1041,840,729,840,407,951,78,306,166,577
+,998,580,854,869,398,693,918,553,339,393
+,1348,757,143,809,705,741,80,512,763,997
+,376,54,100,447,237,858,77,348,619,787
+,1067,977,609,406,992,792,334,30,649,279
+,1065,461,502,233,364,566,963,384,442,190
+,991,599,676,389,87,790,633,302,817,252
+,1296,75,84,274,157,389,728,802,649,157
+,172,398,324,369,109,93,5,965,315,455
+,474,779,276,104,135,89,191,441,459,570
+,351,524,417,105,26,91,362,567,95,611
+,57,803,332,884,394,12,298,423,397,797
+,1276,742,922,572,926,248,585,533,173,701
+,36,173,142,275,308,274,504,149,64,171
+,795,282,431,306,495,801,78,369,257,966
+,381,738,640,507,608,631,200,468,109,138
+,1094,6,971,405,340,861,635,389,823,882
+,1003,450,342,440,835,843,880,666,997,608
+,992,307,328,617,970,711,205,490,321,181
+,531,407,991,326,298,752,711,648,502,990
+,916,800,248,333,385,287,836,804,402,373
+,252,954,577,204,606,558,184,698,786,563
+,673,975,744,472,965,725,214,448,816,298
+,1464,709,70,838,868,814,814,418,689,511
+,827,648,310,247,258,674,157,732,433,808
+,1142,75,459,612,490,596,410,547,518,945
+,874,890,708,428,556,37,809,991,368,718
+,738,831,549,608,653,936,87,111,787,254
+,1297,680,363,170,662,627,45,576,660,693
+,498,409,990,770,339,988,815,440,108,10
+,952,264,227,522,764,531,571,594,704,589
+,485,456,383,400,474,790,695,602,707,512
+,657,353,25,494,107,302,425,942,984,87
+,915,851,963,747,145,356,319,351,466,803
+,766,533,494,356,487,99,448,739,713,463
+,814,68,307,45,829,727,117,23,869,351
+,1249,111,693,819,168,952,758,249,528,178
+,655,163,338,573,436,981,473,237,816,414
+,885,188,190,655,673,442,405,29,755,628
+,44,202,460,606,439,398,4,721,219,210
+,106,770,720,828,815,64,591,104,818,892
+,979,191,374,333,201,468,116,268,686,883
+,575,540,989,654,320,611,397,625,401,601
+,1443,356,360,865,468,632,176,833,689,722
+,494,304,940,629,604,86,688,137,320,120
+,1077,312,119,187,382,710,144,523,397,428
+,463,141,588,392,433,190,498,650,550,710
+,1286,660,953,177,568,170,501,295,143,191
+,669,862,461,634,54,886,367,974,9,496
+,1446,199,834,393,986,575,517,668,506,418
+,158,503,425,727,860,454,500,171,84,578
+,1359,814,779,225,299,33,281,230,550,295
+,49,799,468,579,760,791,784,507,562,523
+,846,586,116,274,793,556,843,375,555,842
+,686,42,778,736,451,559,223,435,104,753
+,420,669,769,253,304,895,33,460,269,356
+,112,836,89,449,886,120,794,831,242,214
+,718,755,602,705,359,881,727,624,647,438
+,884,630,142,803,211,833,211,824,60,583
+,1416,545,287,611,551,172,331,720,299,296
+,742,273,975,878,526,921,695,834,97,138
+,983,768,804,421,940,60,283,887,671,129
+,401,886,135,255,149,728,329,848,253,779
+,1152,692,402,501,145,591,647,275,642,424
+,969,462,77,648,813,901,787,95,412,527
+,11,284,711,958,898,377,465,973,499,335
+,715,2,889,792,867,750,95,748,995,469
+,954,680,714,366,870,64,814,547,407,223
+,473,439,844,216,506,274,330,848,290,345
+,419,591,133,579,872,496,807,351,915,698
+,591,49,47,101,641,802,856,470,16,127
+,1340,878,161,451,467,0,981,438,207,705
+,413,135,903,665,309,162,895,955,897,280
+,872,670,369,256,84,380,680,925,664,169
+,739,405,640,312,743,716,773,239,439,671
+,948,720,97,1,218,488,79,135,607,231
+,653,696,455,9,8,712,351,836,123,880
+,128,710,135,489,72,234,392,91,748,825
+,690,105,320,376,902,306,140,391,792,832
+,1097,895,136,656,693,146,70,543,576,8
+,394,665,168,450,359,739,218,643,766,155
+,1400,421,630,703,453,880,222,88,918,102
+,37,770,126,603,747,393,359,986,439,322
+,80,143,253,283,660,86,254,566,615,614
+,839,622,291,797,963,707,27,868,867,674
+,372,308,210,530,621,521,193,765,401,302
+,238,55,802,919,812,977,245,506,395,115
+,1215,511,653,608,72,540,910,12,369,956
+,1145,135,396,881,859,582,430,374,559,699
+,235,781,482,977,788,74,17,601,69,14
+,1184,220,40,944,61,971,808,407,518,293
+,1012,729,513,785,425,433,718,411,84,655
+,1387,550,630,156,284,85,317,80,523,943
+,791,997,827,159,549,334,400,600,649,781
+,564,665,697,658,67,317,715,447,747,976
+,759,244,59,250,88,946,444,118,464,626
+,1165,56,316,682,759,673,758,179,122,12
+,1237,140,718,11,167,508,975,355,535,529
+,1147,842,738,265,170,380,129,767,799,894
+,89,750,907,120,789,921,30,343,826,439
+,1370,536,65,269,729,998,590,642,78,508
+,92,523,368,56,511,879,580,170,376,161
+,560,791,105,915,587,690,740,118,233,758
+,1188,2,45,879,883,12,250,47,483,372
+,1154,942,153,183,953,983,878,36,566,822
+,125,731,758,671,429,229,329,254,426,937
+,660,327,277,845,79,585,381,122,514,689
+,220,53,183,228,823,528,47,976,410,70
+,1324,476,886,289,792,865,318,335,88,566
+,628,8,377,205,298,577,803,311,757,637
+,975,475,377,605,995,505,791,794,200,750
+,28,559,778,815,251,154,6,954,419,24
+,166,554,354,651,859,710,898,9,973,343
+,1353,777,673,385,869,755,744,314,106,210
+,911,243,429,503,984,61,995,145,728,286
+,153,44,943,237,918,865,532,422,717,917
+,831,469,997,765,86,594,97,517,136,652
+,227,403,76,606,581,63,445,678,987,133
+,1499,298,267,871,322,948,820,402,717,851
+,923,334,325,463,278,239,76,966,207,139
+,1088,788,598,111,159,108,168,460,477,321
+,1053,123,548,366,987,788,212,462,315,474
+,622,872,122,92,161,826,702,311,846,721
+,604,617,41,220,855,877,335,151,93,728
+,462,991,364,405,525,50,693,306,266,839
+,645,31,974,414,875,463,569,766,563,255
+,1218,473,104,823,812,143,124,12,63,850
+,1019,227,133,202,843,410,381,702,645,960
+,1412,86,596,600,265,939,832,76,22,66
+,1318,924,661,454,828,131,94,926,867,849
+,612,339,125,43,964,472,51,172,946,587
+,1403,841,741,404,508,30,391,699,436,176
+,721,219,930,191,281,286,456,904,152,35
+,378,634,631,251,662,302,510,421,903,563
+,194,62,89,286,392,140,429,204,658,905
+,273,538,255,645,821,556,813,19,391,800
+,1011,367,491,557,800,496,352,934,579,514
+,1246,397,276,184,26,326,611,224,30,917
+,524,797,287,59,828,483,542,366,785,598
+,755,997,163,102,253,672,246,272,546,835
+,751,939,754,57,782,970,224,589,866,816
+,757,363,957,859,865,177,180,242,606,325
+,1222,755,714,367,935,605,28,720,717,360
+,1395,581,577,145,576,971,192,856,829,902
+,888,504,555,316,179,502,38,92,57,238
+,38,224,20,539,489,0,339,939,628,206
+,891,133,348,734,181,940,821,864,889,331
+,808,22,151,600,721,939,145,792,113,866
+,1458,881,373,983,74,382,721,964,678,405
+,1172,103,344,309,330,139,999,161,749,971
+,1483,810,654,983,498,664,324,178,724,991
+,697,710,910,951,628,805,365,228,681,603
+,269,179,387,314,751,705,301,130,181,746
+,364,971,718,971,586,400,871,789,988,581
+,842,186,616,325,943,828,990,626,226,654
+,811,106,959,508,144,339,763,79,243,355
+,970,171,651,906,986,90,841,725,686,654
+,302,907,343,457,11,271,214,255,709,69
+,649,262,805,110,737,1,49,395,448,750
+,1274,992,170,905,423,504,902,387,359,559
+,639,103,848,490,807,884,591,666,776,703
+,517,166,462,75,818,866,34,301,20,326
+,750,974,107,75,350,174,909,384,164,749
+,1424,560,964,919,95,346,608,628,914,494
+,726,31,441,965,669,168,621,911,444,160
+,1398,103,339,210,997,194,419,713,567,739
+,1326,747,553,271,676,288,304,243,98,50
+,1214,585,562,860,502,157,55,369,3,437
+,242,301,843,677,640,614,491,204,99,26
+,910,174,653,298,1000,83,484,864,118,315
+,22,407,482,500,916,676,271,93,657,557
+,1473,189,379,906,390,378,191,456,45,269
+,1203,476,269,231,857,275,577,63,154,770
+,421,683,99,87,684,352,827,554,423,994
+,1271,603,232,566,62,860,396,838,535,428
+,1044,548,703,887,958,486,586,902,241,487
+,459,80,404,924,874,731,35,514,584,922
+,711,819,585,693,635,150,123,972,775,459
+,1189,971,171,995,216,827,197,129,43,433
+,873,699,445,206,842,642,151,854,609,264
+,1257,932,744,936,826,68,89,397,569,406
+,1379,333,877,282,532,469,939,894,12,805
+,390,638,601,535,800,429,115,424,153,151
+,423,602,596,776,987,962,102,947,108,576
+,170,103,804,292,888,548,901,352,898,420
+,176,392,670,497,585,623,484,38,176,282
+,428,147,633,623,697,710,411,39,405,910
+,525,339,707,243,50,763,486,942,275,918
+,1347,20,345,837,812,310,318,287,863,503
+,935,712,701,100,995,889,233,137,307,997
+,972,453,792,845,328,275,746,426,619,661
+,1217,192,452,216,935,843,416,758,496,777
+,296,888,382,840,57,527,810,162,67,318
+,300,518,413,138,799,871,536,900,582,29
+,744,197,896,852,205,857,59,255,33,467
+,371,940,369,721,203,280,377,843,475,517
+,144,650,945,126,697,31,247,381,500,608
+,1325,181,983,891,485,600,564,358,352,167
+,806,915,264,766,850,705,92,291,28,395
+,259,166,874,585,798,988,219,877,226,662
+,822,693,211,275,667,419,525,20,885,799
+,174,785,698,9,485,933,135,662,177,615
+,849,8,229,258,622,824,965,312,729,990
+,404,658,281,433,916,385,872,357,470,258
+,855,477,309,693,533,844,638,406,598,104
+,908,523,678,989,863,859,383,574,662,608
+,35,289,305,700,110,493,65,344,283,655
+,69,882,283,267,671,728,975,913,667,305
+,382,153,529,783,246,921,58,824,877,821
+,1394,614,413,676,327,697,143,738,26,671
+,306,302,265,928,428,414,397,754,36,597
+,97,585,835,194,351,743,730,227,702,547
+,895,803,487,928,963,687,367,519,307,865
+,967,860,673,897,571,185,300,99,482,131
+,731,264,742,827,572,781,934,187,969,696
+,233,343,670,91,227,363,228,762,892,314
+,932,807,908,339,380,266,599,301,474,871
+,241,481,54,887,649,597,594,966,635,72
+,1089,910,199,512,122,888,697,390,542,305
+,427,55,891,874,154,140,205,350,419,583
+,578,928,468,146,323,883,732,184,797,82
+,1202,340,646,181,320,649,59,4,462,280
+,361,779,792,172,590,782,162,501,804,781
+,1027,90,132,629,444,648,439,413,439,988
+,149,392,4,38,546,204,748,382,972,14
+,366,329,775,853,543,195,18,692,4,641
+,1282,254,231,710,898,352,319,132,105,392
+,1054,602,313,171,66,843,46,305,971,297
+,1228,745,532,610,536,345,444,909,703,137
+,331,923,501,367,768,192,168,970,928,940
+,60,413,19,233,229,744,134,216,751,22
+,1488,516,173,126,375,728,666,811,38,384
+,58,655,261,789,547,638,49,608,49,677
+,1422,669,856,20,49,706,118,426,454,389
+,115,560,258,485,718,156,210,711,702,645
+,1306,308,430,677,103,678,532,276,637,620
+,208,140,428,850,920,107,523,736,632,120
+,829,116,803,108,509,203,623,204,796,269
+,1119,535,996,206,366,720,419,302,164,40
+,698,508,932,212,704,955,492,338,240,2
+,159,687,91,928,113,855,587,685,505,152
+,1100,92,798,523,76,740,740,103,926,262
+,1459,236,467,1000,303,270,475,51,102,832
+,1078,895,40,872,297,368,820,693,320,436
+,1251,118,97,871,776,911,46,9,872,141
+,1128,662,174,336,366,915,448,978,636,274
+,1192,750,95,381,834,350,187,116,410,409
+,626,467,278,855,394,706,871,489,819,431
+,62,907,816,170,115,135,712,743,60,965
+,1158,163,106,426,933,604,494,821,582,694
+,357,185,625,388,797,367,626,29,883,700
+,892,858,744,996,913,133,494,942,499,115
+,840,421,451,47,64,267,670,321,12,721
+,1085,694,537,785,761,590,741,578,229,978
+,67,894,346,531,535,704,717,633,97,443
+,896,744,254,493,354,679,692,656,394,152
+,930,846,571,913,627,55,11,658,956,160
+,1333,869,480,872,507,890,169,76,769,503
+,681,246,338,993,284,51,519,228,563,658
+,837,412,836,240,80,470,454,820,586,458
+,800,877,510,457,323,121,509,763,669,18
+,320,413,422,36,570,562,0,845,93,810
+,934,986,633,652,311,911,520,575,211,670
+,387,467,973,349,372,845,55,836,228,864
+,909,339,573,785,634,614,484,733,672,372
+,519,463,116,99,777,674,227,2,349,363
+,905,648,987,819,298,560,534,382,718,108
+,1368,918,168,504,143,841,734,760,738,419
+,1061,260,625,200,192,123,952,872,402,220
+,1210,844,800,195,733,346,110,775,424,47
+,988,648,857,688,602,126,790,913,461,468
+,651,603,979,516,137,986,510,4,543,753
+,1063,566,957,443,858,599,494,946,520,799
+,336,932,181,708,592,177,748,834,131,106
+,1016,673,614,620,903,329,516,902,393,428
+,422,937,709,780,254,280,407,986,351,993
+,263,463,824,136,141,422,616,716,907,766
+,532,306,863,718,560,881,321,728,754,957
+,1430,647,222,205,214,639,731,297,703,353
+,1069,688,135,727,665,998,981,182,515,555
+,59,652,330,727,118,779,360,575,491,596
+,165,965,683,727,427,690,765,915,861,546
+,618,898,867,432,827,13,535,109,25,390
+,1313,54,686,57,204,273,768,804,164,293
+,45,256,149,859,63,707,803,302,208,771
+,1314,33,367,833,463,104,630,888,691,757
+,18,885,229,760,662,574,398,243,523,803
+,1042,817,712,294,709,680,48,948,390,396
+,586,979,807,999,701,320,989,565,55,13
+,734,257,207,635,889,799,881,891,453,849
+,205,933,648,721,726,663,376,773,602,559
+,483,617,201,794,742,987,198,301,459,181
+,339,76,191,985,177,752,526,122,386,41
+,147,285,569,270,133,164,598,866,261,5
+,1178,477,726,959,158,40,157,950,330,611
+,737,792,954,640,630,863,677,308,502,808
+,1096,563,366,74,802,724,325,538,225,979
+,168,533,69,805,517,163,425,556,549,413
+,717,357,226,904,218,679,339,339,369,300
+,1021,973,770,633,543,486,574,843,770,664
+,792,117,684,354,456,246,926,657,628,940
+,886,249,981,40,698,906,328,390,937,815
+,328,116,395,262,553,741,289,25,933,529
+,341,788,383,526,822,520,456,498,44,303
+,567,667,197,328,526,84,970,98,171,994
+,1023,791,550,546,7,641,67,215,686,644
+,522,218,885,701,434,855,106,210,550,848
+,528,899,999,759,793,445,662,836,962,73
+,1346,702,157,24,470,734,339,38,89,75
+,878,182,813,257,571,72,588,841,233,932
+,185,417,397,461,645,414,443,323,17,398
+,801,121,547,6,656,737,633,64,774,763
+,1004,46,717,868,74,366,950,514,108,296
+,599,702,308,621,88,288,783,948,448,390
+,179,841,676,31,485,160,546,225,139,764
+,1260,815,816,869,558,302,983,649,147,305
+,1139,908,936,988,814,887,746,663,382,980
+,21,11,566,895,568,144,126,42,5,586
+,1352,403,550,560,969,87,312,215,766,759
+,1474,743,352,216,422,927,661,871,524,145
+,1423,188,226,631,854,258,198,117,185,687
+,256,580,872,55,871,769,954,562,472,660
+,748,74,297,687,68,256,100,202,743,594
+,442,974,338,365,131,687,671,240,102,291
+,40,71,921,198,325,497,461,336,631,675
+,1038,710,598,156,579,580,373,827,323,981
+,448,172,4,320,252,804,226,729,757,656
+,1382,283,860,368,137,695,750,339,898,491
+,512,456,367,793,312,498,564,111,179,661
+,887,83,861,287,879,846,143,912,551,201
+,412,751,907,641,78,744,77,913,19,869
+,594,646,31,832,595,592,414,787,604,217
+,479,37,564,266,556,915,552,483,669,793
+,127,374,401,228,912,790,603,750,877,297
+,1373,475,513,522,92,406,372,514,10,678
+,921,868,987,825,628,700,169,775,526,143
+,314,163,183,579,971,579,675,893,990,149
+,828,749,495,961,367,41,224,779,499,237
+,580,270,378,239,43,684,211,530,929,810
+,1108,397,480,939,465,902,47,40,664,331
+,1272,720,991,533,648,849,280,854,759,269
+,272,557,583,178,385,669,387,374,601,669
+,596,855,79,529,257,385,996,929,228,528
+,978,361,836,888,353,498,811,493,908,618
+,763,513,903,142,450,169,235,78,526,658
+,656,216,153,191,161,370,616,734,836,121
+,202,235,424,830,338,737,116,493,691,490
+,662,215,604,165,662,853,420,22,249,44
+,239,587,606,164,137,644,524,40,912,586
+,72,57,170,264,944,184,529,981,415,613
+,901,577,652,19,899,736,745,677,841,290
+,987,87,221,459,621,482,888,493,174,224
+,295,420,615,146,813,596,840,785,186,638
+,237,523,270,171,741,702,350,944,464,610
+,33,70,235,387,394,135,111,16,207,535
+,298,931,516,700,429,846,153,620,98,181
+,898,923,629,614,39,898,802,544,515,770
+,585,95,493,675,133,923,617,552,847,1
+,1173,960,793,694,664,441,534,430,379,895
+,2,714,542,439,234,960,821,493,808,787
+,574,358,603,823,759,929,779,857,713,589
+,76,435,137,260,488,784,238,931,879,85
+,565,612,897,556,418,263,193,5,726,761
+,177,7,591,535,120,532,7,384,670,210
+,1183,823,323,418,370,109,158,436,667,599
+,160,267,875,548,433,578,374,626,282,696
+,944,773,208,423,565,802,570,494,183,379
+,1265,568,495,259,314,591,352,792,722,407
+,807,141,875,884,675,121,765,235,457,801
+,1405,972,165,102,219,520,410,804,346,820
+,101,628,713,700,723,53,164,398,987,651
+,1485,823,93,843,148,482,948,614,445,90
+,312,269,227,379,81,623,38,741,393,953
+,439,628,671,533,293,728,986,611,58,968
+,304,839,179,655,506,449,10,206,870,672
+,920,823,530,292,199,34,802,613,522,528
+,703,237,629,173,690,36,368,244,670,0
+,856,161,88,282,798,409,361,685,404,415
+,535,205,530,15,754,720,70,941,92,562
+,231,743,849,572,936,596,356,355,986,835
+,426,231,620,986,199,465,952,413,588,4
+,1064,179,416,518,109,572,74,515,301,348
+,121,119,822,525,979,263,897,550,832,812
+,254,256,710,453,989,386,576,495,788,249
+,989,347,984,794,469,697,471,918,600,882
+,1015,493,119,264,69,391,648,807,225,693
+,576,235,819,323,422,978,361,528,548,9
+,152,852,269,254,294,95,408,689,766,840
+,155,77,567,953,182,487,321,362,223,915
+,1479,275,187,969,764,699,952,931,194,510
+,590,204,240,753,247,893,271,211,234,207
+,75,255,856,633,364,159,797,109,122,942
+,503,692,978,679,504,628,6,782,877,554
+,410,43,868,493,380,635,322,504,919,902
+,66,588,889,281,502,187,782,937,523,286
+,1191,227,768,590,131,55,538,818,433,489
+,489,553,33,514,355,403,881,702,794,178
+,798,999,123,715,530,471,323,705,8,12
+,52,215,388,594,103,333,370,627,882,265
+,188,561,269,242,275,482,981,627,351,374
+,687,510,434,215,429,717,770,381,373,874
+,1336,286,461,184,585,134,589,702,234,833
+,1317,738,276,823,241,568,442,876,390,200
+,480,819,982,756,153,484,825,9,180,431
+,291,137,914,869,645,529,546,737,323,804
+,587,307,256,575,879,581,48,407,101,707
+,728,61,220,833,260,487,859,644,98,460
+,105,342,266,369,368,573,570,954,829,263
+,953,20,421,124,359,888,695,986,620,203
+,699,589,665,664,551,178,799,291,363,332
+,299,522,499,793,754,457,910,80,390,628
+,659,474,646,979,148,889,171,655,827,950
+,55,431,646,627,585,414,869,928,73,81
+,46,351,233,321,324,668,298,727,273,619
+,280,404,277,908,455,799,883,961,371,765
